Kategorie,2018,2019,Differenz
Steuern und ähnliche Abgaben,"5.543.981,15","5.734.034,71","190.053,56"
Grundsteuer A,"41.632,82","41.688,74","55,92"
Grundsteuer B,"523.626,17","530.988,09","7.361,92"
Gewerbesteuer,"2.640.435,39","2.725.655,96","85.220,57"
Hundesteuer,"33.889,14","35.777,48","1.888,34"
Vergnügungssteuer,"154.738,63","163.064,44","8.325,81"
Einkommensteueranteile,"1.686.573,00","1.725.900,00","39.327,00"
Ausgleichsleistungen Fam.lastenausgl.,"142.140,00","154.836,00","12.696,00"
Umsatzsteueranteile,"320.946,00","356.124,00","35.178,00"
Zuwendungen und allgemeine Umlagen,"1.139.403,11","1.897.608,29","758.205,18"
Schlüsselzuweisungen,"281.004,00","1.004.352,00","723.348,00"
Schlüsselzuweisungen übergem. Aufgaben,"776.916,00","806.712,00","29.796,00"
sonstige lfd. Zuweisungen,"81.483,11","86.544,29","5.061,18"
sonstige Erträge,"3.689.225,01","3.641.953,67","-47.271,34"
lfd. Erträge,"10.372.609,27","11.273.596,67","900.987,40"
Finanzerträge,"63.196,07","73.284,27","10.088,20"
Gesamterträge,"10.435.805,34","11.346.880,94","911.075,60"
Personalaufwendungen,"3.185.757,30","3.396.008,01","210.250,71"
Versorgungsaufwendungen,"28.747,14","27.991,82","-755,32"
Aufwendungen für Sach- und Dienstleistungen,"686.317,84","734.181,03","47.863,19"
Abschreibungen,"490.665,27","488.016,19","-2.649,08"
Allgemeine Umlagen,"3.196.116,00","3.150.600,00","-45.516,00"
Kreisumlage,"2.074.299,00","2.019.206,00","-55.093,00"
Amtsumlage,"1.121.817,00","1.131.394,00","9.577,00"
aufgabenbezogene Umlagen,"1.729.692,77","1.658.798,81","-70.893,96"
Schulumlage,"513.131,00","529.234,00","16.103,00"
Schulkostenbeiträge,"328.941,04","295.934,58","-33.006,46"
Kindergartenumlage,"299.200,00","323.400,00","24.200,00"
Ausgleich Kindertagesstätten,"35.029,73","23.139,23","-11.890,50"
sonstige Kostenbeteiligungen,"0,00","0,00","0,00"
Gewerbesteuerumlage,"553.391,00","487.091,00","-66.300,00"
sonstige Aufwendungen,"540.929,76","1.295.627,88","754.698,12"
lfd. Aufwendungen,"9.858.226,08","10.751.223,74","892.997,66"
Finanzaufwendungen,"21.140,68","24.314,68","3.174,00"
Gesamtaufwendungen,"9.879.366,76","10.775.538,42","896.171,66"
Jahresergebnis,"556.438,58","571.342,52","14.903,94"
