Kategorie,2021,2022,Differenz
Steuern und ähnliche Abgaben,"6.122.002,62","9.018.457,70","2.896.455,08"
Grundsteuer A,"41.359,24","41.199,57","-159,67"
Grundsteuer B,"558.954,67","550.768,24","-8.186,43"
Gewerbesteuer,"3.025.872,66","5.736.613,93","2.710.741,27"
Hundesteuer,"537,18","46.424,00","45.886,82"
Vergnügungssteuer,"72.363,87","157.439,96","85.076,09"
Einkommensteueranteile,"1.839.966,00","1.935.299,00","95.333,00"
Bedarfszuweisung nach § 32 FAG,"174.720,00","205.308,00","30.588,00"
Umsatzsteueranteile,"408.229,00","345.405,00","-62.824,00"
Zuwendungen und allgemeine Umlagen,"2.201.253,96","2.540.055,87","338.801,91"
Schlüsselzuweisungen,"1.089.636,00","1.270.392,00","180.756,00"
Schlüsselzuweisungen übergem. Aufgaben,"824.256,00","961.596,00","137.340,00"
sonstige lfd. Zuweisungen,"287.361,96","308.067,87","20.705,91"
sonstige Erträge,"3.523.132,79","3.596.019,91","72.887,12"
lfd. Erträge,"11.846.389,37","15.154.533,48","3.308.144,11"
Finanzerträge,"67.197,36","66.542,16","-655,20"
Gesamterträge,"11.913.586,73","15.221.075,64","3.307.488,91"
Personalaufwendungen,"3.434.291,14","3.510.783,72","76.492,58"
Versorgungsaufwendungen,"11.094,74","11.333,16","238,42"
Aufwendungen für Sach- und Dienstleistungen,"968.638,56","1.039.463,38","70.824,82"
Abschreibungen,"442.132,54","467.064,68","24.932,14"
Allgemeine Umlagen,"3.053.347,50","3.506.804,00","453.456,50"
Kreisumlage,"1.933.094,50","2.178.985,00","245.890,50"
Amtsumlage,"1.120.253,00","1.327.819,00","207.566,00"
aufgabenbezogene Umlagen,"1.833.093,19","1.939.984,58","106.891,39"
Schulumlage,"614.605,00","687.107,00","72.502,00"
Schulkostenbeiträge,"313.620,80","348.683,22","35.062,42"
Kindergartenumlage,"0,00","0,00","0,00"
Ausgleich Kindertagesstätten,"19.849,45","1.730,27","-18.119,18"
Pauschalfinanzierung Kita/Tagespflege,"597.317,94","614.764,09","17.446,15"
sonstige Kostenbeteiligungen,"0,00","0,00","0,00"
Gewerbesteuerumlage,"287.700,00","287.700,00","0,00"
sonstige Aufwendungen,"545.859,30","1.014.891,78","469.032,48"
lfd. Aufwendungen,"10.288.456,97","11.490.325,30","1.201.868,33"
Finanzaufwendungen,"7.768,66","4.952,69","-2.815,97"
Gesamtaufwendungen,"10.296.225,63","11.495.277,99","1.199.052,36"
Jahresergebnis,"1.617.361,10","3.725.797,65","2.108.436,55"
