Kategorie,2022,2023,Differenz
Steuern und ähnliche Abgaben,"9.018.457,70","8.631.596,44","-386.861,26"
Grundsteuer A,"41.199,57","41.261,05","61,48"
Grundsteuer B,"550.768,24","571.714,72","20.946,48"
Gewerbesteuer,"5.736.613,93","5.136.388,78","-600.225,15"
Hundesteuer,"46.424,00","47.760,00","1.336,00"
Vergnügungssteuer,"157.439,96","145.025,89","-12.414,07"
Einkommensteueranteile,"1.935.299,00","2.123.006,00","187.707,00"
Bedarfszuweisung nach § 32 FAG,"205.308,00","201.852,00","-3.456,00"
Umsatzsteueranteile,"345.405,00","364.588,00","19.183,00"
Zuwendungen und allgemeine Umlagen,"2.540.055,87","2.326.033,07","-214.022,80"
Schlüsselzuweisungen,"1.270.392,00","1.026.960,00","-243.432,00"
Schlüsselzuweisungen übergem. Aufgaben,"961.596,00","1.121.544,00","159.948,00"
sonstige lfd. Zuweisungen,"308.067,87","177.529,07","-130.538,80"
sonstige Erträge,"3.596.019,91","4.176.311,23","580.291,32"
lfd. Erträge,"15.154.533,48","15.133.940,74","-20.592,74"
Finanzerträge,"66.542,16","53.839,93","-12.702,23"
Gesamterträge,"15.221.075,64","15.187.780,67","-33.294,97"
Personalaufwendungen,"3.510.783,72","4.453.972,22","943.188,50"
Versorgungsaufwendungen,"11.333,16","11.882,49","549,33"
Aufwendungen für Sach- und Dienstleistungen,"1.039.463,38","1.375.723,89","336.260,51"
Abschreibungen,"467.064,68","537.635,47","70.570,79"
Allgemeine Umlagen,"3.506.804,00","3.843.126,00","336.322,00"
Kreisumlage,"2.178.985,00","2.344.307,00","165.322,00"
Amtsumlage,"1.327.819,00","1.498.819,00","171.000,00"
aufgabenbezogene Umlagen,"1.939.984,58","2.472.426,09","532.441,51"
Schulumlage,"687.107,00","1.117.015,00","429.908,00"
Schulkostenbeiträge,"348.683,22","344.262,33","-4.420,89"
Ausgleich Kindertagesstätten,"1.730,27","0,00","-1.730,27"
Pauschalfinanzierung Tagespflege,"86.294,72","107.389,19","21.094,47"
sonstige Kostenbeteiligungen,"0,00","0,00","0,00"
Gewerbesteuerumlage,"287.700,00","308.966,00","21.266,00"
sonstige Aufwendungen,"1.014.891,78","741.238,28","-273.653,50"
lfd. Aufwendungen,"11.490.325,30","13.436.004,44","1.945.679,14"
Finanzaufwendungen,"4.952,69","7.609,69","2.657,00"
Gesamtaufwendungen,"11.495.277,99","13.443.614,13","1.948.336,14"
Jahresergebnis,"3.725.797,65","1.744.166,54","-1.981.631,11"
