Kategorie,2020,2021,Differenz
Steuern und ähnliche Abgaben,"4.808.303,13","6.122.002,62","1.313.699,49"
Grundsteuer A,"41.624,65","41.359,24","-265,41"
Grundsteuer B,"534.121,49","558.954,67","24.833,18"
Gewerbesteuer,"1.795.849,79","3.025.872,66","1.230.022,87"
Hundesteuer,"37.762,57","537,18","-37.225,39"
Vergnügungssteuer,"111.349,63","72.363,87","-38.985,76"
Einkommensteueranteile,"1.730.786,00","1.839.966,00","109.180,00"
Ausgleichsleistungen Fam.lastenausgl.,"170.736,00","174.720,00","3.984,00"
Umsatzsteueranteile,"386.073,00","408.229,00","22.156,00"
Zuwendungen und allgemeine Umlagen,"2.712.498,87","2.201.253,96","-511.244,91"
Schlüsselzuweisungen,"966.852,00","1.089.636,00","122.784,00"
Schlüsselzuweisungen übergem. Aufgaben,"850.272,00","824.256,00","-26.016,00"
sonstige lfd. Zuweisungen,"895.374,87","287.361,96","-608.012,91"
sonstige Erträge,"4.675.725,30","3.523.132,79","-1.152.592,51"
lfd. Erträge,"12.196.527,30","11.846.389,37","-350.137,93"
Finanzerträge,"69.664,67","67.197,36","-2.467,31"
Gesamterträge,"12.266.191,97","11.913.586,73","-352.605,24"
Personalaufwendungen,"3.436.501,46","3.434.291,14","-2.210,32"
Versorgungsaufwendungen,"11.570,88","11.094,74","-476,14"
Aufwendungen für Sach- und Dienstleistungen,"919.148,13","968.638,56","49.490,43"
Abschreibungen,"464.989,18","442.132,54","-22.856,64"
Allgemeine Umlagen,"3.121.261,00","3.053.347,50","-67.913,50"
Kreisumlage,"2.005.886,00","1.933.094,50","-72.791,50"
Amtsumlage,"1.115.375,00","1.120.253,00","4.878,00"
aufgabenbezogene Umlagen,"1.372.877,48","1.833.093,19","460.215,71"
Schulumlage,"539.990,00","614.605,00","74.615,00"
Schulkostenbeiträge,"278.267,56","313.620,80","35.353,24"
Kindergartenumlage,"309.100,00","0,00","-309.100,00"
Ausgleich Kindertagesstätten,"12.889,92","19.849,45","6.959,53"
Pauschalfinanzierung Kita/Tagespflege,"0,00","597.317,94","597.317,94"
sonstige Kostenbeteiligungen,"0,00","0,00","0,00"
Gewerbesteuerumlage,"232.630,00","287.700,00","55.070,00"
sonstige Aufwendungen,"498.454,68","545.859,30","47.404,62"
lfd. Aufwendungen,"9.824.802,81","10.288.456,97","463.654,16"
Finanzaufwendungen,"43.361,29","7.768,66","-35.592,63"
Gesamtaufwendungen,"9.868.164,10","10.296.225,63","428.061,53"
Jahresergebnis,"2.398.027,87","1.617.361,10","-780.666,77"
