jahr,kontenbereich,laufende_nummer,art,scope,produkt,produkt_name,ist_ergebnis_eur
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Gesamtsumme,,,145293.95
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,111000,Gemeindeorgane,1922.21
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,111001,Hauptamt,776.70
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,111005,Liegenschaftsverwaltung,33932.45
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,122000,Allgemeine Ordnungsangelegenheiten,3014.80
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,126000,Gemeindewehrführer,1178.24
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,126001,FF Lensahn,2719.65
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,126002,FF Lensahnerhof,120.00
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,126003,FF Sipsdorf,1676.17
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,218200,Grund- und Gemeinschaftsschule Lensahn,1178.29
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,272000,Gemeindebücherei,1231.50
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,281000,Heimat- und sonstige Kulturpflege,2742.96
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,311000,Verwaltung der Grundsicherung nach SGB XII,3844.98
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,331000,Förderung der Wohlfahrtspflege,5551.38
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,361100,Förderung Kindertageseinrichtungen,699.90
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,424000,Waldschwimmbad,21103.39
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,424002,Sportplatz,5879.25
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,424003,Sport- und Vereinsheim,716.82
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,424004,Schießsportanlage,733.72
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,424005,Kegelbahn,6034.45
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,537000,Abfallbeseitigung,3003.69
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,541000,Gemeindestraßen,9405.19
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,541001,Straßenbeleuchtung,6838.85
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,551000,Grünanlagen,350.15
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,573000,Veranstaltungssaal,5051.09
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,573002,Eingangsbereich,0.19
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,573900,Bauhof,24546.59
2021,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,575000,Fremdenverkehr,1041.34
