jahr,kontenbereich,laufende_nummer,art,scope,produkt,produkt_name,ist_ergebnis_eur
2023,41,2,Zuwendungen und allgemeine Umlagen,Gesamtsumme,,,2577797.67
2023,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,111001,Hauptamt,9121.68
2023,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,126001,FF Lensahn,11975.32
2023,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,126002,FF Lensahnerhof,1501.00
2023,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,126003,FF Sipsdorf,1874.68
2023,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,126004,FF Wahrendorf,93.06
2023,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,218200,Grund- und Gemeinschaftsschule Lensahn,10825.23
2023,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,272000,Gemeindebücherei,12008.49
2023,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,424000,Waldschwimmbad,53580.17
2023,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,424002,Sportplatz,4062.90
2023,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,424003,Sport- und Vereinsheim,977.82
2023,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,424004,Schießsportanlage,2139.84
2023,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,424005,Kegelbahn,1834.95
2023,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,511000,Bauleitplanung,11245.50
2023,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,511001,Städtebausanierung,31999.92
2023,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,538001,öffentliche Toiletten,1500.00
2023,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,541000,Gemeindestraßen,210300.97
2023,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,541001,Straßenbeleuchtung,1312.86
2023,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,551000,Grünanlagen,420.00
2023,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,553900,Ehrenfriedhof,594.00
2023,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,573000,Veranstaltungssaal,238.62
2023,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,573002,Eingangsbereich,115.62
2023,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,575000,Tourismus,1571.04
2023,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,611000,"Steuern, allg. Zuweisungen, allg. Umlagen",2208504.00
