jahr,kontenbereich,laufende_nummer,art,scope,produkt,produkt_name,ist_ergebnis_eur
2019,448,6,Kostenerstattungen u. Kostenumlagen,Gesamtsumme,,,2606329.93
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111000,Gemeindeorgane,218440.80
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111001,Hauptamt,226032.04
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111002,Gleichstellungsbeauftragte,1664.00
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111003,Finanzverwaltung,155616.16
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111004,Finanzbuchhaltung,65067.26
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111005,Liegenschaftsverwaltung,30658.98
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111006,Elektronische Datenverarbeitung,42604.16
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111007,Eigene Bauverwaltung,26374.04
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,122000,Allgemeine Ordnungsangelegenheiten,123986.43
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,122001,Asylbewerber,132040.29
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,122200,Melde- und Personenstandswesen,101233.94
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,126000,Gemeindewehrführer,14935.81
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,218200,Grund- und Gemeinschaftsschule Lensahn,374678.53
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,243000,Sonstige schulische Aufgaben,39737.17
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,311000,Verwaltung der Grundsicherung nach SGB XII,63780.34
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,312000,Grundsicherung nach SGB II,75168.81
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,351000,Leistungen nach dem Wohngeldgesetz,39361.06
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,361100,Förderung Kindertageseinrichtungen,442751.21
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,424001,Großsporthalle,34574.43
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,424002,Sportplatz,41031.03
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,511000,Bauleitplanung,17442.26
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,521000,Bauordnung,10962.06
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,533000,Wasserversorgung,188900.67
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,541000,Gemeindestraßen,39829.80
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,541001,Straßenbeleuchtung,16475.86
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,547000,Öffentlicher Personennahverkehr,16798.04
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,551000,Grünanlagen,12640.18
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,551001,Kinderspielplätze,6133.30
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,573900,Bauhof,14383.25
2019,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,575000,Fremdenverkehr,33028.02
