jahr,kontenbereich,laufende_nummer,art,scope,produkt,produkt_name,ist_ergebnis_eur
2022,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Gesamtsumme,,,153315.75
2022,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,111005,Liegenschaftsverwaltung,34549.95
2022,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,122000,Allgemeine Ordnungsangelegenheiten,4908.02
2022,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,126000,Gemeindewehrführer,942.44
2022,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,126001,FF Lensahn,3135.76
2022,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,126002,FF Lensahnerhof,1415.34
2022,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,126003,FF Sipsdorf,3217.86
2022,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,126004,FF Wahrendorf,314.40
2022,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,126100,JF Lensahn,598.10
2022,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,272000,Gemeindebücherei,1655.55
2022,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,281000,Heimat- und sonstige Kulturpflege,237.80
2022,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,331000,Förderung der Wohlfahrtspflege,4454.20
2022,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,424000,Waldschwimmbad,13057.94
2022,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,424002,Sportplatz,3242.64
2022,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,424003,Sport- und Vereinsheim,462.11
2022,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,424004,Schießsportanlage,511.73
2022,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,424005,Kegelbahn,4927.38
2022,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,511001,Städtebausanierung,42662.72
2022,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,533000,Wasserversorgung,1.00
2022,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,537000,Abfallbeseitigung,3566.40
2022,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,541000,Gemeindestraßen,6262.56
2022,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,541001,Straßenbeleuchtung,10088.03
2022,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,573000,Veranstaltungssaal,9517.24
2022,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,573900,Bauhof,2122.58
2022,"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,575000,Fremdenverkehr,1464.00
