jahr,kontenbereich,laufende_nummer,art,scope,produkt,produkt_name,ist_ergebnis_eur
2023,45,7,sonstige Erträge,Gesamtsumme,,,674563.40
2023,45,7,sonstige Erträge,Teilergebnis,111000,Gemeindeorgane,54332.60
2023,45,7,sonstige Erträge,Teilergebnis,111003,Finanzverwaltung,56876.00
2023,45,7,sonstige Erträge,Teilergebnis,111004,Finanzbuchhaltung,5340.50
2023,45,7,sonstige Erträge,Teilergebnis,111006,Elektronische Datenverarbeitung,11011.00
2023,45,7,sonstige Erträge,Teilergebnis,111007,Eigene Bauverwaltung,10420.00
2023,45,7,sonstige Erträge,Teilergebnis,126001,FF Lensahn,-90.00
2023,45,7,sonstige Erträge,Teilergebnis,531000,Elektritzitätsversorgung,125891.29
2023,45,7,sonstige Erträge,Teilergebnis,532000,Gasversorgung,20941.08
2023,45,7,sonstige Erträge,Teilergebnis,533000,Wasserversorgung,39080.48
2023,45,7,sonstige Erträge,Teilergebnis,551001,Kinderspielplätze,5209.00
2023,45,7,sonstige Erträge,Teilergebnis,573900,Bauhof,10417.00
2023,45,7,sonstige Erträge,Teilergebnis,611000,"Steuern, allg. Zuweisungen, allg. Umlagen",335134.45
