jahr,kontenbereich,laufende_nummer,art,scope,produkt,produkt_name,ist_ergebnis_eur
2020,448,6,Kostenerstattungen u. Kostenumlagen,Gesamtsumme,,,2789263.38
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111000,Gemeindeorgane,237576.57
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111001,Hauptamt,201807.77
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111002,Gleichstellungsbeauftragte,1900.00
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111003,Finanzverwaltung,230940.58
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111004,Finanzbuchhaltung,77260.87
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111005,Liegenschaftsverwaltung,35132.89
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111006,Elektronische Datenverarbeitung,67199.19
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111007,Eigene Bauverwaltung,91906.90
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,122000,Allgemeine Ordnungsangelegenheiten,133629.44
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,122001,Asylbewerber,87270.31
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,122200,Melde- und Personenstandswesen,128035.00
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,126000,Gemeindewehrführer,13902.31
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,218200,Grund- und Gemeinschaftsschule Lensahn,400509.88
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,243000,Sonstige schulische Aufgaben,39875.63
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,272000,Gemeindebücherei,99.54
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,311000,Verwaltung der Grundsicherung nach SGB XII,137583.32
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,312000,Grundsicherung nach SGB II,85891.90
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,351000,Leistungen nach dem Wohngeldgesetz,43162.43
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,361100,Förderung Kindertageseinrichtungen,449595.62
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,424000,Waldschwimmbad,5893.61
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,424001,Großsporthalle,36743.08
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,511000,Bauleitplanung,35932.83
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,521000,Bauordnung,12184.90
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,533000,Wasserversorgung,160388.70
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,541000,Gemeindestraßen,-8745.24
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,541001,Straßenbeleuchtung,-4568.28
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,547000,Öffentlicher Personennahverkehr,22793.93
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,551000,Grünanlagen,-1747.91
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,551001,Kinderspielplätze,21197.98
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,573000,Veranstaltungssaal,377.00
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,573900,Bauhof,11813.93
2020,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,575000,Fremdenverkehr,33718.70
