jahr,kontenbereich,laufende_nummer,art,scope,produkt,produkt_name,ist_ergebnis_eur
2020,45,7,sonstige Erträge,Gesamtsumme,,,1147479.52
2020,45,7,sonstige Erträge,Teilergebnis,111000,Gemeindeorgane,82966.93
2020,45,7,sonstige Erträge,Teilergebnis,111003,Finanzverwaltung,22104.88
2020,45,7,sonstige Erträge,Teilergebnis,111004,Finanzbuchhaltung,921.19
2020,45,7,sonstige Erträge,Teilergebnis,111005,Liegenschaftsverwaltung,362.12
2020,45,7,sonstige Erträge,Teilergebnis,111006,Elektronische Datenverarbeitung,118.57
2020,45,7,sonstige Erträge,Teilergebnis,111007,Eigene Bauverwaltung,16628.13
2020,45,7,sonstige Erträge,Teilergebnis,531000,Elektritzitätsversorgung,134390.66
2020,45,7,sonstige Erträge,Teilergebnis,532000,Gasversorgung,12809.12
2020,45,7,sonstige Erträge,Teilergebnis,533000,Wasserversorgung,36796.71
2020,45,7,sonstige Erträge,Teilergebnis,551001,Kinderspielplätze,8314.08
2020,45,7,sonstige Erträge,Teilergebnis,573900,Bauhof,16628.13
2020,45,7,sonstige Erträge,Teilergebnis,611000,"Steuern, allg. Zuweisungen, allg. Umlagen",15439.00
2020,45,7,sonstige Erträge,Teilergebnis,612000,sonstige allg. Finanzwirtschaft,800000.00
