Spalte 13 (Kontenbereich),Spalte 24 (Lfd. Nr.),Spalte 3 (Ertrags- und Aufwandsarten),Spalte 4 (Ergebnis des Vorjahres in EUR),Spalte 5 (Fortgeschriebener Ansatz des Haushaltsjahres in EUR),Spalte 6 (Ist-Ergebnis des Haushaltsjahres in EUR),Spalte 7 (Vergleich Ansatz/Ist in EUR),Spalte 8 (Übertragene Ermächtigungen in EUR)
40,1,Steuern und ähnliche Abgaben,"5.734.034,71","4.847.500,00","4.809.378,13","38.121,87",-
41,2,+ Zuwendungen und allgemeine Umlagen,"2.081.113,17","2.067.900,00","2.882.152,36","814.252,36-",-
42,3,+ Sonstige Transfererträge,"0,00","0,00","0,00","0,00",-
43,4,+ öffentlich-rechtliche Leistungsentgelte,"188.723,06","144.700,00","143.165,05","1.534,95",-
"441, 442, 446",5,+ privatrechtliche Leistungsentgelte,"80.840,01","69.600,00","425.088,86","355.488,86-",-
448,6,+ Kostenerstattungen u. Kostenumlagen,"2.606.329,93","2.687.000,00","2.789.263,38","102.263,38-",-
45,7,+ sonstige Erträge,"582.555,79","145.400,00","1.147.479,52","1.002.079,52-",-
471,8,+ aktivierte Eigenleistungen,"0,00","0,00","0,00","0,00",-
472,9,+ / - Bestandveränderungen,"0,00","0,00","0,00","0,00",-
,10,= Erträge,"11.273.596,67","9.962.100,00","12.196.527,30","2.234.427,30-",-
50,11,Personalaufwendungen,"3.396.008,01","3.642.669,31","3.436.501,46","206.167,85","0,00"
51,12,+ Versorgungsaufwendungen,"27.991,82","31.100,00","11.570,88","19.529,12","0,00"
52,13,+ Aufwendungen für Sach- und Dienstleistungen,"734.181,03","1.365.337,10","919.148,13","446.188,97","57.034,61"
57,14,+ bilanzielle Abschreibungen,"488.016,19","447.500,00","464.989,18","17.489,18-","0,00"
53,15,+ Transferaufwendungen,"4.853.268,78","4.648.020,69","4.551.528,85","96.491,84","1.000,00"
54,16,+ sonstige Aufwendungen,"1.251.757,91","591.641,28","441.064,31","150.576,97","0,00"
,17,= Aufwendungen,"10.751.223,74","10.726.268,38","9.824.802,81","901.465,57","58.034,61"
,18,= Ergebnis der laufenden Verwaltungstätigkeit (=Zeilen 10 / 17),"522.372,93","764.168,38-","2.371.724,49","3.135.892,87-","58.034,61-"
46,19,+ Finanzerträge,"73.284,27","101.400,00","69.664,67","31.735,33",-
55,20,- Zinsen und sonstige Finanzaufwendungen,"24.314,68-","22.100,00-","43.361,29-","21.261,29","0,00"
,21,= Finanzergebnis (= Zeilen 19 und 20),"48.969,59","79.300,00","26.303,38","52.996,62","0,00"
,22,= Jahresergebnis 5 (= Zeilen 18 und 21),"571.342,52","684.868,38-","2.398.027,87","3.082.896,25-","58.034,61-"
